company_name,company_url,company_description,yc_launch_date,company_presentation_file,gpt_wrapper_estimate_index
Coldreach,https://coldreach.ai/,"🦾 Coldreach - Personalized prospecting at scale, tailored to your needs","July 19, 2023",Coldreach.txt,
ProdTrace,https://www.prodtrace.com/,ProdTrace - AI-driven bills of material and supplier management for hardware companies,"July 19, 2023",ProdTrace.txt,
Airgoods,https://airgoods.com/,Airgoods – Faire for specialty food stores,"July 19, 2023",Airgoods.txt,
WalletKit,https://usewalletkit.com,WalletKit — Developer platform for building consumer-friendly web3 apps,"July 19, 2023",WalletKit.txt,
langfuse,https://langfuse.com,🪢 Langfuse - Open-source product analytics for LLM apps,"July 19, 2023",langfuse.txt,
order.link,https://www.order.link,Order.link 🧩 Respond to order requests in minutes,"July 18, 2023",order.link.txt,
Retake,https://getretake.com,Retake - Open-source infrastructure for vector data streams,"July 18, 2023",Retake.txt,
Pincites,https://www.pincites.com/,📌 Pincites: AI-powered contract negotiation,"July 18, 2023",Pincites.txt,
Ergomake,https://ergomake.dev,🧚 Ergomake - Deploy a staging environment for every pull request,"July 18, 2023",Ergomake.txt,
Empirical Health,https://empirical.health,🩺 Empirical Health: Proactive primary care,"July 18, 2023",Empirical Health.txt,
Linc.,https://www.linc-ai.com/,Linc 🔗 The intelligent email copilot for logistics,"July 17, 2023",Linc..txt,
Reworkd AI,https://reworkd.ai,🤖 Reworkd AI - The open-source Zapier of AI agents,"July 17, 2023",Reworkd AI.txt,
Affinity,https://itsaffinity.com,Affinity - The compliance training platform built for regulated industries,"July 17, 2023",Affinity.txt,
dili,https://diliai.com,🧿 Dili: Accelerating due diligence with AI,"July 17, 2023",dili.txt,
Smobi,https://smobimarket.com/,Smobi - New age marketplace for businesses for sale,"July 17, 2023",Smobi.txt,
Serra,https://www.serra.io/,"🔹 Serra - Low-code, modular SQL","July 17, 2023",Serra.txt,
Craftwork,https://craftwork.com/,🏠 Craftwork - The easy way to paint your home,"July 17, 2023",Craftwork.txt,
Kobalt Labs,https://www.kobaltlabs.com/,Kobalt Labs: Use LLMs securely on your most sensitive data,"July 17, 2023",Kobalt Labs.txt,
Subsets,https://www.subsets.com,Subsets – The AI retention co-pilot for subscription businesses,"July 16, 2023",Subsets.txt,
Second,https://www.second.dev,⚫ ⚫ Second - The world's first fully automated codebase migration platform,"July 16, 2023",Second.txt,
Helios Climate Industries,http://www.heliosclimate.io,Helios - Affordable and efficient heat pump installations,"July 15, 2023",Helios Climate Industries.txt,
Santé,https://santehq.com/,Santé - The all-in-one POS for liquor stores,"July 14, 2023",Santé.txt,
Docsum,https://www.docsum.ai/,🔍 Docsum - AI contract reviewer for sales teams,"July 14, 2023",Docsum.txt,
Zelos Cloud,https://zeloscloud.io,Zelos Cloud – The first cloud platform for firmware development and testing,"July 14, 2023",Zelos Cloud.txt,
Cerelyze,https://cerelyze.com,Cerelyze: Tool for engineers to implement research papers 100x faster,"July 13, 2023",Cerelyze.txt,
Sweetspot,https://www.sweetspot.so/,Sweetspot | AI-powered search engine for government contracts 🔍,"July 13, 2023",Sweetspot.txt,
Aglide,https://aglide.com,"Aglide - Control your team's SaaS accounts, access, & bills","July 13, 2023",Aglide.txt,
Airwork,https://www.airwork.io,🇨🇦 Airwork - Canada's on-demand frontline workforce,"July 13, 2023",Airwork.txt,
Extend,https://www.extend.app/,Extend - Build AI-powered workflows for unstructured data,"July 13, 2023",Extend.txt,
Nectar,https://nectarclimate.com,🐝 Nectar - Making environmental data auditable and easier to collect,"July 13, 2023",Nectar.txt,
Respaid,https://www.respaid.com,Respaid - Collect 9x more small overdue bills with respectful AI 💰,"July 13, 2023",Respaid.txt,
Cyclone,https://www.usecyclone.dev/,Cyclone 🌀 Instant coding playground for your docs,"July 12, 2023",Cyclone.txt,
Leafpress,https://www.leafpress.io,🍁 Leafpress - ESG software for Real Estate,"July 12, 2023",Leafpress.txt,
Kino AI,https://trykino.com,📸 Kino AI - Silicon Valley meets Hollywood,"July 12, 2023",Kino AI.txt,
"Santiago Labs, Inc.",https://santiago.app,Santiago – Never let your documentation go out of date,"July 11, 2023","Santiago Labs, Inc..txt",
RightPage,https://www.rightpage.com/,RightPage – Context-aware automations to give your support team superpowers,"July 11, 2023",RightPage.txt,
kapa.ai,https://www.kapa.ai/,kapa.ai: ChatGPT for developer-facing products,"July 11, 2023",kapa.ai.txt,
SID,https://www.sid.ai,SID.ai – Connect AI apps to your customer's data in an afternoon,"July 11, 2023",SID.txt,
Tiptap,https://tiptap.dev/,⚫️ Tiptap – The developer toolkit for building collaborative apps,"July 11, 2023",Tiptap.txt,
MantleBio,https://www.mantlebio.com,🔬 MantleBio: Scaling data driven discovery for biotech,"July 11, 2023",MantleBio.txt,
ZOKO,https://www.zoko.io/,🧠  Zoko: Unleash AI inside your WhatsApp Business number,"July 11, 2023",ZOKO.txt,
Unhaze,https://unhaze.ai,Unhaze 😶‍🌫️ Find the deals you are most likely to close,"July 11, 2023",Unhaze.txt,
PeerDB,https://peerdb.io/,"PeerDB - Modern ETL in minutes, with SQL","July 11, 2023",PeerDB.txt,
Osium AI,https://osium.ai/,🚀 Osium AI -  AI for advanced and sustainable materials discovery,"July 10, 2023",Osium AI.txt,
Mano AI,https://www.usemano.com/,👋🏽 Mano - Your LLM-powered helping hand,"July 10, 2023",Mano AI.txt,
Sero AI,https://getsero.ai,Sero AI - help humans keep humans safe online,"July 10, 2023",Sero AI.txt,
Quill AI,https://quillai.co,Quill AI: The financial research assistant,"July 09, 2023",Quill AI.txt,
Cedalio,https://cedalio.com/,💥 Cedalio — A blockchain empowered alternative to Firebase,"July 06, 2023",Cedalio.txt,
Orangewood Labs,http://www.orangewood.co,🦾 Orangewood Labs - RoboGPT 🚀,"July 06, 2023",Orangewood Labs.txt,
Arcimus,https://www.arcimus.com/,"🧠 Arcimus - Create, share, and get insights from meeting notes","July 06, 2023",Arcimus.txt,
Agentive,https://www.goagentive.com,Agentive: AI-powered copilot for auditors,"July 06, 2023",Agentive.txt,
AutoInfra,https://autoinfra.ai/,☁️💬 AutoInfra - Infrastructure as Language,"July 06, 2023",AutoInfra.txt,
Guac,https://www.tryguac.co/,🥑 Guac: Ending grocery food waste with AI,"July 05, 2023",Guac.txt,
CandorIQ,https://www.candoriq.com/,CandorIQ - Headcount & compensation planning,"July 05, 2023",CandorIQ.txt,
Contour,https://trycontour.com,🔎 Contour - Deploy automated E2E tests with no-code ⚡️,"July 05, 2023",Contour.txt,
Casehopper,http://www.casehopper.com,⚖️Casehopper: AI-drafting for M&A lawyers,"July 05, 2023",Casehopper.txt,
Cargo,https://getcargo.io,"🚢 Cargo, the revenue architecture for modern teams","July 05, 2023",Cargo.txt,
FlowiseAI,https://flowiseai.com,Flowise - Low-code LLM apps builder,"July 05, 2023",FlowiseAI.txt,
Sohar Health,https://www.soharhealth.com,🧠 Sohar Health: AI-powered medical coding for behavioral health,"July 05, 2023",Sohar Health.txt,
Wyvern AI,https://www.wyvern.ai/,🐉 Wyvern AI - Increase revenue in marketplaces with better product ranking,"July 05, 2023",Wyvern AI.txt,
QuestDB,https://questdb.io/,QuestDB Cloud - Fast SQL time-series database,"July 04, 2023",QuestDB.txt,
Elto,https://elto.ai,Elto - AI-powered parallel dialer,"July 03, 2023",Elto.txt,
UpCodes,https://up.codes/,UpCodes - Copilot for building codes,"June 29, 2023",UpCodes.txt,
Glade,https://www.gladetool.com,Glade - Enterprise grade platform for financial planning,"June 29, 2023",Glade.txt,
Wayfind,https://www.wayfind.live/,🏝️ Wayfind - Your personal AI travel agent,"June 29, 2023",Wayfind.txt,
Stellar,http://www.stellarapp.io,Stellar 📈 - AI-powered OKRs,"June 29, 2023",Stellar.txt,
Greenlite,https://www.greenlite.ai/,Greenlite 🟢 AI compliance teams for fintechs,"June 28, 2023",Greenlite.txt,
Intelliga Health,https://intelligahealth.com,Intelliga Health - Automating insurance workflows for medical practices,"June 28, 2023",Intelliga Health.txt,
HyLight,https://www.hylight.aero/,HyLight 🎈 Hydrogen airships for long range monitoring,"June 28, 2023",HyLight.txt,
Waveline,https://waveline.ai/,Waveline Extract - Reliably extract JSON from unstructured data🚀📄,"June 28, 2023",Waveline.txt,
Convoy,https://getconvoy.io,Nohooks: Webhooks for platforms without webhooks,"June 28, 2023",Convoy.txt,
Trainy,https://trainy.ai/,"🚅 Trainy - Identify bottlenecks, boost training","June 27, 2023",Trainy.txt,
refine,https://refine.dev,refine - Open-source platform for rapidly building enterprise web applications,"June 26, 2023",refine.txt,
SafetyKit,https://www.getsafetykit.com/,SafetyKit — AI-powered Trust and Safety automation,"June 26, 2023",SafetyKit.txt,
Slicker,https://www.slickerhq.com,Slicker - The easiest payroll product for small European businesses,"June 26, 2023",Slicker.txt,
Line.Build,https://www.line.build/,Line: Enabling affordable building decarbonization,"June 26, 2023",Line.Build.txt,
Remy Security,https://www.remysec.com/,Remy Security - AI-powered security design reviews,"June 26, 2023",Remy Security.txt,
Artie,https://www.artie.so/,Artie - real-time data streaming for databases ⚡,"June 26, 2023",Artie.txt,
Pure 🪙,https://www.collectpure.com/,Pure 🪙 - Bloomberg Terminal for certified rare coins (Numismatics),"June 24, 2023",Pure 🪙.txt,
CatX,https://catx.finance,CatX - The exchange for trading and transferring risk,"June 24, 2023",CatX.txt,
Terminal,https://www.withterminal.com/,Terminal: Plaid for Telematics 🚚,"June 23, 2023",Terminal.txt,
Vahan,https://vahan.co,Vahan - Super cheap data annotation service,"June 22, 2023",Vahan.txt,
MagicBell,https://magicbell.com,🔔 WebPushTest.com - iOS Safari web-push notifications demo & code,"June 22, 2023",MagicBell.txt,
Parsagon,https://parsagon.io,Parsagon - GPT for browser automations ⚡️,"June 21, 2023",Parsagon.txt,
Sweep,https://sweep.dev/,🧹 Sweep - AI developer that handles your tech debt,"June 21, 2023",Sweep.txt,
Drivingforce,https://www.drivingforce.co/,Drivingforce - Rippling for trucking,"June 21, 2023",Drivingforce.txt,
Eden Care,https://www.edencaremedical.com/,Eden Care - Digital health insurance for employers in Africa,"June 20, 2023",Eden Care.txt,
Supercool,https://www.supercool.xyz/,"Supercool: Automate, create, and manage digital assets","June 20, 2023",Supercool.txt,
Converge,http://www.runconverge.com,Converge - Segment for ecommerce,"June 20, 2023",Converge.txt,
Flint,http://flintk12.com/,Flint: Copilot for K-12 teachers 🪨💥🔥,"June 19, 2023",Flint.txt,
Orbio Earth,https://www.orbio.earth/,🛰️ Orbio Earth - Monitoring methane emissions with satellites,"June 19, 2023",Orbio Earth.txt,
Roame,https://roame.travel/,✈️ Roame - Google Flights using points & miles,"June 19, 2023",Roame.txt,
Solve Intelligence,https://www.solveintelligence.com/,💡 Solve Intelligence - Write patents with AI,"June 16, 2023",Solve Intelligence.txt,
Monitaur,https://monitaur.xyz,Monitaur - Datadog for Web3,"June 14, 2023",Monitaur.txt,
Structured,https://www.structuredlabs.io/,🪵 Structured: Customizable copilot for log analysis,"June 14, 2023",Structured.txt,
Roundtable,https://roundtable.ai,🚀 Roundtable - Automated survey results,"June 14, 2023",Roundtable.txt,
Superpowered,https://superpowered.me,Superpowered - The AI copilot for your meetings,"June 14, 2023",Superpowered.txt,
OpenMeter,https://openmeter.io,OpenMeter.io: Real-time and scalable OSS metering,"June 13, 2023",OpenMeter.txt,
Laudspeaker,https://laudspeaker.com/?ref=bf,Laudspeaker In-app guide designer,"June 12, 2023",Laudspeaker.txt,
Outset,https://outset.ai/,Outset.ai - AI-powered user interviews,"June 12, 2023",Outset.txt,
Blockscope,https://www.blockscope.co/,Blockscope - Easy to use crypto tools for all!,"June 06, 2023",Blockscope.txt,
Waypoint,https://www.usewaypoint.com,Waypoint – a refreshingly simple way to send data-rich transactional emails,"June 01, 2023",Waypoint.txt,
Terra,http://tryterra.co,OdinAI by Terra,"June 01, 2023",Terra.txt,
Porter,https://porter.run,Porter - Turn your AWS account into Heroku,"May 30, 2023",Porter.txt,
Locale,https://www.localemeals.com,Locale: We’re making restaurant delivery affordable,"May 25, 2023",Locale.txt,
Runway,https://runway.team,📲 🚀 Build Distro by Runway,"May 24, 2023",Runway.txt,
Cosmic,https://www.cosmicjs.com,🚀 Cosmic - Headless CMS and API toolkit v2.0,"May 23, 2023",Cosmic.txt,
Mesh Analytics,https://withmesh.com,Mesh: Understand what's driving revenue across marketing & sales 📈🕵️‍♀️,"May 23, 2023",Mesh Analytics.txt,
Cloudthread,https://cloudthread.io,Cloudthread ☁️🧘‍♂️ Your Cloud Cost Savings Hub,"May 17, 2023",Cloudthread.txt,
Sphere,https://www.getsphere.com/,🔮 Sphere - Building a new monetization engine for content owners,"May 17, 2023",Sphere.txt,
Wondercraft,https://wondercraft.ai/,🎙 Wondercraft - Create studio-quality podcasts in seconds,"May 12, 2023",Wondercraft.txt,
Pump,https://www.pump.co/,Pump: The fastest way to save 60% on AWS,"May 11, 2023",Pump.txt,
Kraftful,http://www.kraftful.com/,Kraftful Plugin for ChatGPT - Your on-demand product coach,"May 11, 2023",Kraftful.txt,
Sequin,http://www.sequincard.com,Sequin: Banking designed with women’s best interests in mind - literally! 💪🏽,"May 09, 2023",Sequin.txt,
Superpowered AI,https://superpowered.ai,Superpowered AI - Knowledge Base as a Service for LLM applications,"May 08, 2023",Superpowered AI.txt,
LanceDB,https://lancedb.com,"LanceDB 🍢 - serverless, low-latency vector database for AI applications","May 04, 2023",LanceDB.txt,
Flagright,https://flagright.com,Flagright AI: A GPT-powered AI toolkit for AML compliance ops,"April 30, 2023",Flagright.txt,
Hatchways,http://www.hatchways.io,Hatchways - Making engineering interviewing look more like real work,"April 27, 2023",Hatchways.txt,
Stable,https://useStable.com,📬 Stable: A virtual business address & mailbox (now live in Texas and Florida),"April 27, 2023",Stable.txt,
Deekard,https://www.deekard.com,🤖 Deekard - Your autonomous assistant for data science and analytics,"April 27, 2023",Deekard.txt,
Fuse,https://www.letsfuse.com/,Fuse: Maximize coverage & conversions for financial account connections,"April 26, 2023",Fuse.txt,
Procoto,https://procoto.com,"🔎 Procoto - Manage RFPs, contracts, and vendors with ease","April 25, 2023",Procoto.txt,
MovingLake,https://movinglake.com,"MovingLake - Vertical-first, realtime, AI-enabled data platform","April 24, 2023",MovingLake.txt,
WareIQ,https://www.wareiq.com/,Inventory LogIQ: AI-enabled inventory planning for multi-channel consumer brands,"April 22, 2023",WareIQ.txt,
Bend,https://usebend.com/,Bend - A corporate card built for climate-friendly businesses ($100 to try it),"April 21, 2023",Bend.txt,
Zenfetch,https://www.zenfetch.com/,"Zenfetch - Real-time sales copilot for closing more deals, faster","April 20, 2023",Zenfetch.txt,
Metal,https://getmetal.io/,Motörhead - LLM memory server built in Rust,"April 20, 2023",Metal.txt,
Tarsal,https://www.tarsal.co/,Tarsal: Data pipeline built for modern security teams,"April 19, 2023",Tarsal.txt,
Poko,http://www.pokoapp.xyz,Poko - Onramp aggregator and direct checkout for web3 wallets & marketplaces,"April 18, 2023",Poko.txt,
SST,https://sst.dev,OpenNext — Deploy Next.js apps to AWS,"April 18, 2023",SST.txt,
Zidisha,https://www.zidisha.org,Zidisha - Crowdfunding for developing country entrepreneurs,"April 17, 2023",Zidisha.txt,
Better Opinions,https://betteropinions.in/,🚀 Better Opinions: Prediction market of India,"April 14, 2023",Better Opinions.txt,
communion,http://www.communion.so,🥐 communion - growth analytics dashboards + AI creative suite,"April 13, 2023",communion.txt,
Argonaut,https://argonaut.dev,"Argonaut: Simple, flexible deployments of apps and infra to your cloud","April 12, 2023",Argonaut.txt,
Swifteam,https://www.swifteam.com,Swifteam - Mobile Device Management (MDM) with global Zero Touch Deployment (ZTD),"April 12, 2023",Swifteam.txt,
Striga,https://striga.com/,Striga - Crypto-backed card issuing APIs,"April 12, 2023",Striga.txt,
Scispot,https://scispot.io,Scispot GLUE - Stitch your biotech R&D data,"April 11, 2023",Scispot.txt,
1build,https://1build.com/,🏗️ 1build - Plaid for construction cost data,"April 10, 2023",1build.txt,
Nirva,https://nirvahealth.com,Nirva: Redefining chronic disease management,"April 06, 2023",Nirva.txt,
Rainmaker,http://www.rainmaker.nyc,Rainmaker - DeFi for everyone,"April 05, 2023",Rainmaker.txt,
Intently,https://www.getintently.ai/,🚀 Intently - Identify the best sales targets using AI,"April 05, 2023",Intently.txt,
Semantic Finance,https://semanticfinance.com,Semantic Finance: Real-time AI-powered financial news data,"April 03, 2023",Semantic Finance.txt,
Sensible Biotechnologies,https://sensible.bio,Sensible Biotechnologies: Engineering cells to make better mRNA 🧬,"April 03, 2023",Sensible Biotechnologies.txt,
Squack,http://squack.io,Squack - Natural language RPA tools for accountants,"March 31, 2023",Squack.txt,
LinkGrep,https://linkgrep.com,LinkGrep: AI browser copilot for teams,"March 31, 2023",LinkGrep.txt,
Coldreach,https://coldreach.ai/,✍️ Coldreach: Automate sales email personalization for 10x conversions,"March 30, 2023",Coldreach.txt,
Numeral,https://numeralhq.com/,Numeral - Ecommerce sales tax on autopilot,"March 30, 2023",Numeral.txt,
SpadeWorks,https://www.spadeworks.co,SpadeWorks: One stop maintenance solutions for SMBs,"March 30, 2023",SpadeWorks.txt,
Swishjam,https://swishjam.com,Swishjam - Open-source suite of page speed optimization tools,"March 29, 2023",Swishjam.txt,
Radiant,https://useradiant.com,🚀 Reviewify.io - AI powered code reviews,"March 29, 2023",Radiant.txt,
TeamOut,https://www.teamout.com/,"TeamOut 🏝, the retreat planning platform","March 28, 2023",TeamOut.txt,
Glass Health,http://glass.health,Glass AI - GPT for doctors,"March 28, 2023",Glass Health.txt,
Flair Labs,https://www.flairlabs.ai/,Flair Labs 🔥 Unlock critical insights from conversation data with LLMs,"March 27, 2023",Flair Labs.txt,
Theya,https://www.theya.us/,"Theya: World's simplest Bitcoin multi-sig, self-custody app","March 27, 2023",Theya.txt,
Finex,https://getfinex.com,Finex - All-in-one financial platform for e-commerce,"March 27, 2023",Finex.txt,
Layerup,https://www.uselayerup.com/,Layerup: ChatGPT for data analytics and business intelligence,"March 23, 2023",Layerup.txt,
Homeflow,https://www.homeflow.me/,Homeflow 🏠 - Simplifying insurance for large real estate investors,"March 23, 2023",Homeflow.txt,
Mantys,https://www.mantys.io/,Mantys: ARR tracking and forecasting tool for SaaS companies,"March 23, 2023",Mantys.txt,
DailyBot,https://www.dailybot.com/,DailyBot+ AI 🧠 The assistant and toolkit for modern teams,"March 23, 2023",DailyBot.txt,
Berilium,https://berilium.com/,Berilium - Invest in top Private Equity and Private Credit starting at $10k,"March 22, 2023",Berilium.txt,
DailyPe,https://DailyPe.in,DailyPe - Repay your loans daily,"March 21, 2023",DailyPe.txt,
Narrative,https://www.trynarrative.com/,Narrative - Bill.com for the logistics industry,"March 21, 2023",Narrative.txt,
Warrant,https://warrant.dev/,Warrant - Open source application authorization and access control,"March 21, 2023",Warrant.txt,
Ruby Card,https://www.spendruby.com,💎 Ruby Card: The bank for e-commerce businesses,"March 20, 2023",Ruby Card.txt,
Pursuit,https://pursuitoutside.com/,Pursuit Properties – Own a slice of beauty & solitude,"March 20, 2023",Pursuit.txt,
Magicflow 𐂂,https://magicflow.ai,Magicflow - Webflow for AI development,"March 20, 2023",Magicflow 𐂂.txt,
Fluid Markets,http://www.fluidinvesting.com,Fluid Markets - Exchange to invest in company earnings,"March 20, 2023",Fluid Markets.txt,
Double,https://usedouble.com,Double — Internet-capable GPT bots to automate repetitive work,"March 17, 2023",Double.txt,
Extend,https://www.extend.app/,Extend - Build internal Chrome extensions that give your team superpowers,"March 17, 2023",Extend.txt,
Fairway Health,https://www.fairwayhealth.co/,Fairway Health - Process prior authorization faster,"March 16, 2023",Fairway Health.txt,
Dittofeed,http://dittofeed.com,Dittofeed - The first open-source customer engagement platform with developer tools,"March 16, 2023",Dittofeed.txt,
Superteam,http://getsuperteam.com,⚡Superteam – AI that manages Customer Service & Sales for you,"March 15, 2023",Superteam.txt,
Credal.ai,https://credal.ai,Credal: Control how AI uses your data,"March 15, 2023",Credal.ai.txt,
ShortLoop,https://shortloop.dev/,🚀 ShortLoop - Automated API platform for fast-moving teams,"March 15, 2023",ShortLoop.txt,
Lightski,https://www.lightski.com,🏔️ Lightski: ChatGPT for sales teams,"March 15, 2023",Lightski.txt,
Castled Data,https://castled.io/,Castled - Build audiences on your data warehouse without SQL,"March 15, 2023",Castled Data.txt,
Parsagon,https://parsagon.io,Parsagon: Universal API for product data,"March 14, 2023",Parsagon.txt,
Shyp,http://shyp.co.in/,Shyp: Marketplace for freight movement in India 🚚 🚚,"March 14, 2023",Shyp.txt,
Layup,http://www.layupai.com,"Layup: Complete your workflows, with just one line 🏀⚡️","March 14, 2023",Layup.txt,
Vaero,https://vaero.co,Vaero - Fivetran for log data,"March 14, 2023",Vaero.txt,
Nango,https://nango.dev,🔌 Nango: Get OAuth tokens for APIs. Fast & secure.,"March 14, 2023",Nango.txt,
Fastgen,https://fastgen.com,Fastgen - Low-Code API and workflow builder,"March 14, 2023",Fastgen.txt,
Neptyne,https://neptyne.com,Neptyne - The spreadsheet reimagined for the AI era,"March 14, 2023",Neptyne.txt,
Iliad,https://iliad.ai,Iliad - Creative tool for generating game assets,"March 13, 2023",Iliad.txt,
PoloPay,https://polopay.co/,🅿️PoloPay - Dynamic menus for LatAm restaurants and coffee shops,"March 13, 2023",PoloPay.txt,
Teclada,https://www.teclada.com/,⌨️ Teclada: The modern terminal for modern developers,"March 13, 2023",Teclada.txt,
Rivet,https://rivet.gg,👾 Rivet - Heroku for multiplayer games,"March 13, 2023",Rivet.txt,
Rosettic,https://rosettic.com,Rosettic — Break down cloud costs by product and customer,"March 13, 2023",Rosettic.txt,
SuperAPI,https://trysuperapi.com,SuperAPI - Make all your fetch APIs cacheable,"March 11, 2023",SuperAPI.txt,
inBuild,https://www.inbuild.ai/,inBuild - Financial automation for home builders,"March 11, 2023",inBuild.txt,
Invitris,https://invitris.com/,INVITRIS - Simplifying drug development & manufacturing,"March 10, 2023",Invitris.txt,
Portalform,https://portalform.com,"Portalform: The API data you need, straight from your database","March 10, 2023",Portalform.txt,
1stCollab,https://1stcollab.com/,1stCollab — Run an influencer marketing campaign in less than 30 minutes 🎉,"March 10, 2023",1stCollab.txt,
Muffin Data,http://www.muffindata.com,Muffin Data — Simple analytics for food and beverage brands,"March 10, 2023",Muffin Data.txt,
Cakework,https://www.cakework.com,Cakework - Custom user code in any developer product,"March 10, 2023",Cakework.txt,
Mogara,https://mogara.com,Mogara - Automatic software R&D capitalization 💰,"March 10, 2023",Mogara.txt,
LaunchFlow,https://launchflow.com/,"BuildFlow - Open source framework for easy, fast, and reliable data pipelines","March 10, 2023",LaunchFlow.txt,
Omnistrate,http://www.omnistrate.com,Omnistrate - Cloud platform to SaaSify your open-source project 🚀,"March 10, 2023",Omnistrate.txt,
Untether Labs,https://untetherlabs.com,Untether Labs  ·  Smart scheduling for digital clinics,"March 09, 2023",Untether Labs.txt,
CreatorML,https://creatorml.com/,CreatorML - ML-Powered Predictive Analytics for YouTube Creators,"March 09, 2023",CreatorML.txt,
Galaxy,https://galaxysdk.com,Galaxy 🕹️ - Social multiplayer for games,"March 09, 2023",Galaxy.txt,
Avoca,https://www.avoca.ai/,Avoca – AI-powered communications platform for SMBs,"March 09, 2023",Avoca.txt,
Feather,https://try-feather.com,Feather — Bloomberg Terminal for retail traders,"March 09, 2023",Feather.txt,
Keep,https://www.keephq.dev,Keep - Open source alerting CLI,"March 09, 2023",Keep.txt,
Honeydew,https://honeydew.ai,🍈 Honeydew  - one truth to rule them all,"March 09, 2023",Honeydew.txt,
Sirdab,https://sirdab.co/en,Sirdab - Cloud warehousing & transportation services in MENA,"March 08, 2023",Sirdab.txt,
Trackstar,https://www.trackstarhq.com/,Trackstar – Plaid for supply chain logistics,"March 08, 2023",Trackstar.txt,
Inboxbooster,https://www.inboxbooster.com,Inboxbooster: Get back to the inbox,"March 08, 2023",Inboxbooster.txt,
Hadrius,https://www.hadrius.com,Hadrius - SEC regulatory compliance powered by AI,"March 08, 2023",Hadrius.txt,
Gloo,https://www.trygloo.com/,Gloo: Empower LLM’s with domain-specific knowledge,"March 08, 2023",Gloo.txt,
Persana AI,https://www.persana.ai/,🎯📈 Persana AI - Sales copilot to boost productivity,"March 08, 2023",Persana AI.txt,
Palomma,http://www.palomma.com/,Palomma 🕊️ - Frictionless Pay by Bank for LatAm,"March 08, 2023",Palomma.txt,
Clueso,https://clueso.io,🚀 Clueso : Create in-app tours that never go out-of-date,"March 08, 2023",Clueso.txt,
Stralis Aircraft,https://stralis.aero/,Stralis 🛫 - Emission free hydrogen electric aircraft,"March 07, 2023",Stralis Aircraft.txt,
Laudspeaker,https://laudspeaker.com/?ref=bf,Laudspeaker v1.1.0 open-source customer journey automation - a braze / iterable alternative,"March 07, 2023",Laudspeaker.txt,
Atri Labs,https://atrilabs.com,🧘‍♂️ Atri: The open-source Python web framework to create stunning apps,"March 07, 2023",Atri Labs.txt,
Mozart Data,http://www.mozartdata.com,Mozart Data Sonata - we set up and maintain world-class data infrastructure (ELT & Warehousing) for FREE,"March 07, 2023",Mozart Data.txt,
KURUKURU,https://kurukuru.xyz/,KURUKURU: 3D engine in the browser for comics creation,"March 07, 2023",KURUKURU.txt,
Paperplane,https://www.paperplane.ai/,Paperplane - Automatically update Salesforce after sales calls using NLP.,"March 07, 2023",Paperplane.txt,
Lume,https://www.lume.ai,Lume - No-code tool to create and maintain custom data integrations,"March 07, 2023",Lume.txt,
